ID	logFC
AZGP1	-2.14997244
CD1A	4.376977814
CD1C	2.966906804
CD1E	2.633553875
CD74	2.466239728
CTSE	6.505640362
CTSS	2.48146159
HLA-A	2.763446756
HLA-B	2.494834739
HLA-C	2.167357055
HLA-DOA	2.380948679
HLA-DPB1	2.283157877
HLA-DQA1	2.413658054
HLA-DQA2	2.999191085
HLA-DRA	3.399465046
HLA-DRB1	3.60896441
HLA-DRB5	3.154648952
HLA-E	2.015442349
HLA-G	2.899742061
HLA-H	2.729213941
HSPA6	2.618768154
LTA	2.263270448
PSMC1	-2.812701171
PSMD6	-3.548544264
IFI30	-4.283761045
PROCR	2.041832177
ULBP3	2.177680856
ULBP2	2.904044301
RAET1L	3.816249568
PDIA2	-3.142931132
HAMP	-3.92968413
PI3	5.512732309
CAMP	2.120920377
PPBP	5.744454149
REG3G	-2.570029644
CXCL14	3.519312121
CXCL16	2.116601494
SLPI	4.377895063
CXCL8	2.179841139
CXCL10	3.491369568
CXCL9	4.011854431
CXCL5	6.304490929
CXCL13	2.893357322
PF4	3.362969857
CCL13	3.23861773
CCL8	2.700526834
DEFA3	-3.820248012
TMSB10	3.902089871
LCN2	4.208075358
LCN1	4.883926707
DCD	-6.884384766
LCN6	-3.23880418
S100A6	5.137828861
SERPIND1	3.184941257
S100P	6.506909565
S100A10	2.689721629
S100A2	5.291612832
S100A11	3.551650875
S100A5	4.97207929
S100A3	2.507951631
TMSB15B	-3.888062707
TMSB4XP8	2.469843044
S100A14	3.966302694
LCN10	-4.563751661
S100A16	3.372039796
WFIKKN1	-2.004697539
WFDC2	2.754044676
MMP9	3.958714118
ANOS1	3.1337626
FABP6	3.959775573
RBP1	-2.623825238
PLAU	3.829349252
PAEP	7.972903765
MUC5AC	5.35466596
NOX4	2.287298436
FABP3	2.132184249
FABP2	5.903314196
BPIFB1	5.868725759
OASL	4.276559346
CRABP2	4.656164551
C8G	2.060337097
PI15	2.94124745
NOX1	5.05423223
CYBB	2.133377418
BPIFA2	8.777690279
DUOX2	4.439758401
IDO1	3.310617931
CCL20	3.83866648
PLAAT4	2.902799262
CHIT1	2.359748749
TLR7	2.368290637
ISG15	3.128045106
F2R	3.157438492
LYZ	4.588413956
CCL5	2.656634761
CST4	7.08489944
TLR8	2.217531346
BST2	3.167891984
NOS2	2.068318654
AHNAK	2.014099714
FGF2	2.221357753
F2RL1	2.014589957
DMBT1	4.600578834
TNFRSF10A	2.21251386
TMPRSS6	2.714603575
MARCO	3.194005981
TNFSF11	3.970883683
