ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006958	complement activation, classical pathway	82/425	137/18670	1.64673499714335e-100	6.02869682454182e-97	4.41324979234419e-97	C8G/MASP2/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/TRBC2	82
BP	GO:0002455	humoral immune response mediated by circulating immunoglobulin	83/425	150/18670	1.16797053408782e-97	2.13797006264775e-94	1.56508051567768e-94	LTA/C8G/MASP2/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/TRBC2	83
BP	GO:0006959	humoral immune response	111/425	356/18670	5.26581246336586e-97	6.42604647612747e-94	4.70412580060683e-94	HLA-E/LTA/PI3/CAMP/PPBP/REG3G/SLPI/CXCL8/CXCL10/CXCL9/CXCL5/CXCL13/PF4/CCL13/DEFA3/LCN2/DCD/BPIFB1/C8G/BPIFA2/LYZ/DMBT1/MASP2/PDCD1/CCR7/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/IFNE/IFNK/REG1A/TNFRSF21/SH2D1A/CD28/TRBC2	111
BP	GO:0002449	lymphocyte mediated immunity	110/425	352/18670	3.29295243084693e-96	3.01387471233266e-93	2.20627812866745e-93	CD1A/CD1C/CD1E/CD74/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/LTA/ULBP3/ULBP2/RAET1L/C8G/TLR8/KLRK1/MASP2/IL7R/CD40LG/TNFSF4/VAV1/BCL10/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/CD70/IL13RA2/IL20RB/TNFRSF1B/NCR3/SH2D1A/CD28/TRBC2	110
BP	GO:0019724	B cell mediated immunity	93/425	221/18670	4.50413528210888e-95	3.29792785356013e-92	2.41421651121036e-92	CD74/HLA-E/HLA-G/LTA/C8G/TLR8/MASP2/CD40LG/TNFSF4/BCL10/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/CD70/IL13RA2/CD28/TRBC2	93
BP	GO:0016064	immunoglobulin mediated immune response	91/425	218/18670	1.44481333242224e-92	8.81576934999637e-90	6.45349955148601e-90	CD74/HLA-E/LTA/C8G/TLR8/MASP2/CD40LG/TNFSF4/BCL10/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/IL13RA2/CD28/TRBC2	91
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	108/425	361/18670	4.72768762343547e-92	2.47258062705675e-89	1.81002897582958e-89	CD1A/CD1C/CD1E/CD74/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/LTA/ULBP3/ULBP2/RAET1L/CXCL13/C8G/TLR8/MASP2/IL7R/CD40LG/TNFSF4/CCL19/BCL10/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/CD70/IL13RA2/IL20RB/TNFRSF1B/CD28/TRBC2	108
BP	GO:0006956	complement activation	82/425	175/18670	2.00970469452128e-88	9.19691110830302e-86	6.7325107266463e-86	C8G/MASP2/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/TRBC2	82
BP	GO:0072376	protein activation cascade	82/425	198/18670	7.89025597265551e-83	3.20958079065465e-80	2.3495428896352e-80	C8G/MASP2/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/TRBC2	82
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	111/425	473/18670	6.4807206902515e-82	2.37259184470108e-79	1.7368331449874e-79	HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/PSMC1/PSMD6/MUC5AC/KLRK1/CCR7/CD79A/VAV1/CARD11/BCL10/PIK3R2/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/CMTM3/TNFRSF21/LCK/FCGR3A/NCR3/LAT/CD3D/CD3E/CD3G/CD28/CTLA4/TRAC/TRAV8-4/TRAV19/TRAV29DV5/TRBC2/TRBV7-9	111
