category	ID	term	count	genes	logFC	adj_pval	zscore
CC	GO:0019814	immunoglobulin complex	106	CD79A	2.339202914	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHA1	4.580203331	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHA2	3.954859595	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHD	2.52847748	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHE	4.614951121	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHG1	4.092811952	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHG2	4.751073375	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHG3	4.277977496	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHG4	6.623940523	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHM	3.718903576	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV1-18	5.396934449	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV1-24	4.148217143	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV1-3	2.864022114	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV1-45	4.414477879	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV1-58	5.97177047	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV1-69	5.520612632	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV2-26	5.94330266	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV2-5	3.039237781	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV2-70	4.503457739	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-11	4.463496157	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-13	4.939516204	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-15	4.633629005	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-20	5.391177834	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-21	4.48651043	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-23	3.792396872	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-30	4.080313948	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-33	3.561712724	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-43	4.73628677	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-48	4.182136266	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-49	4.607476353	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-53	4.98716105	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-64	4.847603857	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-66	4.620172714	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-72	4.43616225	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-73	4.433335466	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV3-74	4.509606409	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV4-28	4.84032026	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV4-31	5.447691339	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV4-34	3.918320555	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV4-39	5.307706181	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV4-4	3.728476841	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV4-59	4.41186575	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV4-61	3.718960007	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV5-51	5.173937414	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGHV6-1	3.313763038	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGKC	3.209234693	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGKV1-12	4.281577382	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGKV1-16	4.417128877	2.35541837419232e-138	10.1013729685155
CC	GO:0019814	immunoglobulin complex	106	IGKV1-17	4.499088338	2.35541837419232e-138	10.1013729685155
