ID	logFC	entrezID
AZGP1	-2.14997244	563
CD1A	4.376977814	909
CD1C	2.966906804	911
CD1E	2.633553875	913
CD74	2.466239728	972
CTSE	6.505640362	1510
CTSS	2.48146159	1520
HLA-A	2.763446756	3105
HLA-B	2.494834739	3106
HLA-C	2.167357055	3107
HLA-DOA	2.380948679	3111
HLA-DPB1	2.283157877	3115
HLA-DQA1	2.413658054	3117
HLA-DQA2	2.999191085	3118
HLA-DRA	3.399465046	3122
HLA-DRB1	3.60896441	3123
HLA-DRB5	3.154648952	3127
HLA-E	2.015442349	3133
HLA-G	2.899742061	3135
HLA-H	2.729213941	3136
HSPA6	2.618768154	3310
LTA	2.263270448	4049
PSMC1	-2.812701171	5700
PSMD6	-3.548544264	9861
IFI30	-4.283761045	10437
PROCR	2.041832177	10544
ULBP3	2.177680856	79465
ULBP2	2.904044301	80328
RAET1L	3.816249568	154064
PDIA2	-3.142931132	64714
HAMP	-3.92968413	57817
PI3	5.512732309	5266
CAMP	2.120920377	820
PPBP	5.744454149	5473
REG3G	-2.570029644	130120
CXCL14	3.519312121	9547
CXCL16	2.116601494	58191
SLPI	4.377895063	6590
CXCL8	2.179841139	3576
CXCL10	3.491369568	3627
CXCL9	4.011854431	4283
CXCL5	6.304490929	6374
CXCL13	2.893357322	10563
PF4	3.362969857	5196
CCL13	3.23861773	6357
CCL8	2.700526834	6355
DEFA3	-3.820248012	1668
TMSB10	3.902089871	9168
LCN2	4.208075358	3934
LCN1	4.883926707	3933
DCD	-6.884384766	117159
LCN6	-3.23880418	158062
S100A6	5.137828861	6277
SERPIND1	3.184941257	3053
S100P	6.506909565	6286
S100A10	2.689721629	6281
S100A2	5.291612832	6273
S100A11	3.551650875	6282
S100A5	4.97207929	6276
S100A3	2.507951631	6274
TMSB15B	-3.888062707	286527
TMSB4XP8	2.469843044	7117
S100A14	3.966302694	57402
LCN10	-4.563751661	414332
S100A16	3.372039796	140576
WFIKKN1	-2.004697539	117166
WFDC2	2.754044676	10406
MMP9	3.958714118	4318
ANOS1	3.1337626	3730
FABP6	3.959775573	2172
RBP1	-2.623825238	5947
PLAU	3.829349252	5328
PAEP	7.972903765	5047
MUC5AC	5.35466596	4586
NOX4	2.287298436	50507
FABP3	2.132184249	2170
FABP2	5.903314196	2169
BPIFB1	5.868725759	92747
OASL	4.276559346	8638
CRABP2	4.656164551	1382
C8G	2.060337097	733
PI15	2.94124745	51050
NOX1	5.05423223	27035
CYBB	2.133377418	1536
BPIFA2	8.777690279	140683
DUOX2	4.439758401	50506
IDO1	3.310617931	3620
CCL20	3.83866648	6364
PLAAT4	2.902799262	5920
CHIT1	2.359748749	1118
TLR7	2.368290637	51284
ISG15	3.128045106	9636
F2R	3.157438492	2149
LYZ	4.588413956	4069
CCL5	2.656634761	6352
CST4	7.08489944	1472
TLR8	2.217531346	51311
BST2	3.167891984	684
NOS2	2.068318654	4843
AHNAK	2.014099714	79026
FGF2	2.221357753	2247
F2RL1	2.014589957	2150
DMBT1	4.600578834	1755
TNFRSF10A	2.21251386	8797
TMPRSS6	2.714603575	164656
MARCO	3.194005981	8685
TNFSF11	3.970883683	8600
KLRK1	-2.377696483	22914
ILK	-3.044909121	3611
MASP2	-2.338045439	10747
IL7R	2.055705368	3575
IL1A	3.955517808	3552
SYTL1	-2.602020427	84958
APOBEC3C	2.256595588	27350
PTGS2	4.107029634	5743
CD40LG	2.839101549	959
CD14	2.063880446	929
PROC	2.41190963	5624
IRF9	-2.798850202	10379
PIK3CG	2.297687648	5294
PDCD1	2.031277051	5133
PCSK1	2.408446038	5122
AQP9	2.181645137	366
ALB	-3.757399803	213
OAS1	2.440626447	4938
TNFSF4	2.396187816	7292
ACTA1	-2.969481095	58
SERPINA3	-6.295118036	12
CCL15	3.643075482	6359
CCL14	-3.569807574	6358
CCL19	3.893935696	6363
CCL18	4.72096651	6362
CCL17	4.694882585	6361
CCL26	3.222286798	10344
CCL22	4.069807204	6367
CCR7	2.554702366	1236
CCR8	3.979195992	1237
CCL21	2.799454548	6366
CCL7	3.418790971	6354
CCL25	5.249854178	6370
CCL4L2	2.015277826	9560
CCR1	2.036412076	1230
CCL24	5.756943231	6369
XCL2	2.124322488	6846
CXCR4	2.7595349	7852
CCR4	3.826323911	1233
TAFA5	2.021487939	25817
LTBP1	2.860433529	4052
PPARG	2.498113484	5468
CD86	2.42401009	942
VDR	2.719638255	7421
OLR1	2.521144997	4973
CD79A	2.339202914	973
VAV1	2.166355679	7409
RAC2	2.379543207	5880
CARD11	3.544285654	84433
BCL10	2.135281226	8915
PIK3R2	-4.20680062	5296
IGHA1	4.580203331	3493
IGHA2	3.954859595	3494
IGHD	2.52847748	3495
IGHE	4.614951121	3497
IGHG1	4.092811952	3500
IGHG2	4.751073375	3501
IGHG3	4.277977496	3502
IGHG4	6.623940523	3503
IGHM	3.718903576	3507
IGHV1-18	5.396934449	28468
IGHV1-2	4.505959087	28474
IGHV1-24	4.148217143	28467
IGHV1-3	2.864022114	28473
IGHV1-45	4.414477879	28466
IGHV1-46	4.906026903	28465
IGHV1-58	5.97177047	28464
IGHV1-69	5.520612632	28461
IGHV2-26	5.94330266	28455
IGHV2-5	3.039237781	28457
IGHV2-70	4.503457739	28454
IGHV3-11	4.463496157	28450
IGHV3-13	4.939516204	28449
IGHV3-15	4.633629005	28448
IGHV3-20	5.391177834	28445
IGHV3-21	4.48651043	28444
IGHV3-23	3.792396872	28442
IGHV3-30	4.080313948	28439
IGHV3-33	3.561712724	28434
IGHV3-35	5.893657122	28432
IGHV3-38	6.349296163	28429
IGHV3-43	4.73628677	28426
IGHV3-48	4.182136266	28424
IGHV3-49	4.607476353	28423
IGHV3-53	4.98716105	28420
IGHV3-64	4.847603857	28414
IGHV3-66	4.620172714	28412
IGHV3-72	4.43616225	28410
IGHV3-73	4.433335466	28409
IGHV3-74	4.509606409	28408
IGHV4-28	4.84032026	28400
IGHV4-31	5.447691339	28396
IGHV4-34	3.918320555	28395
IGHV4-39	5.307706181	28394
IGHV4-4	3.728476841	28401
IGHV4-59	4.41186575	28392
IGHV4-61	3.718960007	28391
IGHV5-51	5.173937414	28388
IGHV6-1	3.313763038	28385
IGHV7-81	3.981591772	28378
IGKC	3.209234693	3514
IGKV1-12	4.281577382	28940
IGKV1-16	4.417128877	28938
IGKV1-17	4.499088338	28937
IGKV1-27	4.193343726	28935
IGKV1-39	4.476372431	28930
IGKV1-5	4.927080728	28299
IGKV1-6	4.390121845	28943
IGKV1-8	2.458152188	28942
IGKV1-9	4.424059694	28941
IGKV1D-12	5.787736253	28903
IGKV1D-13	3.317514934	28902
IGKV1D-16	4.045523736	28901
IGKV1D-17	4.02136206	28900
IGKV1D-42	6.310900661	28892
IGKV1D-43	5.452198381	28891
IGKV1D-8	5.729824763	28904
IGKV2-24	3.142633179	28923
IGKV2-30	2.382146359	28919
IGKV2D-24	4.224394314	28885
IGKV2D-29	3.642862349	28882
IGKV2D-30	3.08303204	28881
IGKV2D-40	5.3928973	28878
IGKV3-11	3.458133276	28914
IGKV3-15	4.106091117	28913
IGKV3-20	4.442374792	28912
IGKV3-7	5.95389494	28915
IGKV3D-11	4.534707501	28876
IGKV3D-15	5.322599038	28875
IGKV3D-20	4.887136811	28874
IGKV4-1	4.840587557	28908
IGKV5-2	4.051490352	28907
IGKV6-21	4.246077503	28906
IGKV6D-21	3.535473732	28870
IGLC2	3.216970944	3538
IGLC3	3.318106693	3539
IGLC6	4.197759447	3542
IGLC7	3.983685903	28834
