ID	conMean	treatMean	logFC	pValue	fdr
AZGP1	82.48711528	18.58574274	-2.14997244	3.35E-45	1.09E-44
CD1A	0.059213776	1.230337809	4.376977814	1.91E-46	6.76E-46
CD1C	0.399816013	3.125993902	2.966906804	1.11E-45	3.73E-45
CD1E	0.17930224	1.112664999	2.633553875	9.75E-37	2.19E-36
CD74	73.3236327	405.1875642	2.466239728	7.09E-49	3.13E-48
CTSE	1.883601379	171.151965	6.505640362	8.79E-48	3.48E-47
CTSS	5.067508489	28.30015776	2.48146159	4.35E-47	1.62E-46
HLA-A	42.20087875	286.5509544	2.763446756	1.43E-54	4.14E-53
HLA-B	63.12484316	355.811846	2.494834739	1.29E-52	1.27E-51
HLA-C	52.91646327	237.7006092	2.167357055	2.08E-54	5.47E-53
HLA-DOA	1.404489919	7.315695099	2.380948679	5.63E-48	2.27E-47
HLA-DPB1	11.81706964	57.51866544	2.283157877	9.63E-47	3.48E-46
HLA-DQA1	2.412229369	12.85292799	2.413658054	2.92E-45	9.52E-45
HLA-DQA2	1.532093292	12.24987594	2.999191085	3.97E-48	1.62E-47
HLA-DRA	34.8833278	368.0941006	3.399465046	1.33E-51	9.16E-51
HLA-DRB1	17.03787686	207.8844553	3.60896441	1.97E-52	1.78E-51
HLA-DRB5	7.973858045	71.0088469	3.154648952	8.33E-49	3.64E-48
HLA-E	36.70279498	148.3910608	2.015442349	7.68E-53	8.41E-52
HLA-G	0.556737324	4.154891408	2.899742061	1.47E-48	6.26E-48
HLA-H	3.46323675	22.96452369	2.729213941	1.88E-53	2.91E-52
HSPA6	1.222673469	7.509970904	2.618768154	3.71E-24	6.10E-24
LTA	0.098574931	0.473237089	2.263270448	7.34E-34	1.52E-33
PSMC1	16.01092829	2.278815113	-2.812701171	1.34E-51	9.24E-51
PSMD6	51.38327993	4.391405674	-3.548544264	8.36E-53	8.99E-52
IFI30	13.76669774	0.706788067	-4.283761045	9.70E-55	3.14E-53
PROCR	3.268950881	13.46049795	2.041832177	6.17E-52	4.68E-51
ULBP3	0.211240336	0.955705551	2.177680856	9.86E-47	3.56E-46
ULBP2	0.252022571	1.886443842	2.904044301	1.91E-46	6.76E-46
RAET1L	0.092070685	1.296961142	3.816249568	3.52E-37	8.03E-37
PDIA2	144.57622	16.36742354	-3.142931132	7.45E-46	2.54E-45
HAMP	12.733251	0.835577051	-3.92968413	1.11E-29	2.06E-29
PI3	0.759678949	34.68389597	5.512732309	4.42E-47	1.64E-46
CAMP	0.089528997	0.389425485	2.120920377	1.92E-24	3.18E-24
PPBP	0.122428942	6.563524402	5.744454149	2.24E-24	3.70E-24
REG3G	192.4443567	32.40777146	-2.570029644	1.28E-35	2.80E-35
CXCL14	4.92622534	56.48495489	3.519312121	4.86E-45	1.56E-44
CXCL16	6.031211985	26.15562678	2.116601494	9.48E-53	9.93E-52
SLPI	9.318983422	193.7520342	4.377895063	3.45E-52	2.84E-51
CXCL8	2.787053811	12.62824278	2.179841139	8.10E-32	1.59E-31
CXCL10	0.567492978	6.382156627	3.491369568	1.58E-47	6.11E-47
CXCL9	0.523558635	8.446053897	4.011854431	2.80E-50	1.50E-49
CXCL5	0.397227167	31.39639757	6.304490929	3.73E-46	1.30E-45
CXCL13	1.012187841	7.520530173	2.893357322	3.07E-36	6.82E-36
PF4	0.120635409	1.241165236	3.362969857	5.54E-43	1.59E-42
CCL13	0.362141814	3.418217975	3.23861773	1.25E-38	2.99E-38
CCL8	0.131588246	0.855375247	2.700526834	9.04E-33	1.81E-32
DEFA3	0.633298195	0.044833125	-3.820248012	6.48E-23	1.04E-22
TMSB10	117.7580645	1760.502946	3.902089871	1.12E-55	8.18E-54
LCN2	17.9452317	331.6698367	4.208075358	9.78E-45	3.08E-44
LCN1	0.026014928	0.768123513	4.883926707	3.02E-19	4.51E-19
DCD	0.399572438	0.003382122	-6.884384766	1.85E-55	1.06E-53
LCN6	2.229449751	0.236167689	-3.23880418	4.89E-47	1.81E-46
S100A6	43.00506986	1514.119864	5.137828861	1.98E-56	3.09E-54
SERPIND1	0.105549369	0.959883431	3.184941257	4.34E-18	6.35E-18
S100P	1.345597022	122.3742309	6.506909565	2.14E-47	8.14E-47
S100A10	30.75581823	198.4331268	2.689721629	2.51E-51	1.62E-50
S100A2	0.862455915	33.78089042	5.291612832	9.97E-44	2.97E-43
S100A11	54.366201	637.5032952	3.551650875	2.09E-50	1.14E-49
S100A5	0.031010625	0.973319736	4.97207929	1.62E-54	4.55E-53
S100A3	0.440420883	2.505166364	2.507951631	6.55E-48	2.62E-47
