ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04060	Cytokine-cytokine receptor interaction	76/232	295/8075	8.05422426680557e-54	1.60279062909431e-51	1.11063513573845e-51	LTA/PPBP/CXCL14/CXCL16/CXCL8/CXCL10/CXCL9/CXCL5/CXCL13/PF4/CCL13/CCL8/CCL20/CCL5/TNFRSF10A/TNFSF11/IL7R/IL1A/CD40LG/TNFSF4/CCL15/CCL14/CCL19/CCL18/CCL17/CCL26/CCL22/CCR7/CCR8/CCL21/CCL7/CCL25/CCL4L2/CCR1/CCL24/XCL2/CXCR4/CCR4/CXCR3/CXCR5/BMP4/BMP7/CD70/CSF2/EPO/GDF10/GH1/IFNE/IFNK/IL11/IL1RN/IL24/INHBA/LIF/LTB/OSM/PRL/TNFRSF11B/TNFSF15/TNFSF9/AMHR2/CSF2RB/IL12RB2/IL13RA2/IL2RB/IL1R2/IL20RB/IL21R/IL22RA1/IL2RA/IL2RG/TNFRSF17/TNFRSF18/TNFRSF1B/TNFRSF21/TNFRSF9	76
hsa04061	Viral protein interaction with cytokine and cytokine receptor	41/232	100/8075	8.00311236120399e-38	7.96309679939797e-36	5.51793536483012e-36	LTA/PPBP/CXCL14/CXCL8/CXCL10/CXCL9/CXCL5/CXCL13/PF4/CCL13/CCL8/CCL20/CCL5/TNFRSF10A/CCL15/CCL14/CCL19/CCL18/CCL17/CCL26/CCL22/CCR7/CCR8/CCL21/CCL7/CCL25/CCL4L2/CCR1/CCL24/XCL2/CXCR4/CCR4/CXCR3/CXCR5/IL24/IL2RB/IL20RB/IL22RA1/IL2RA/IL2RG/TNFRSF1B	41
hsa04062	Chemokine signaling pathway	38/232	192/8075	6.2914010791037e-22	4.17329604913879e-20	2.89183698723714e-20	PPBP/CXCL14/CXCL16/CXCL8/CXCL10/CXCL9/CXCL5/CXCL13/PF4/CCL13/CCL8/CCL20/CCL5/PIK3CG/CCL15/CCL14/CCL19/CCL18/CCL17/CCL26/CCL22/CCR7/CCR8/CCL21/CCL7/CCL25/CCL4L2/CCR1/CCL24/XCL2/CXCR4/CCR4/VAV1/RAC2/PIK3R2/CXCR3/CXCR5/SHC2	38
hsa05320	Autoimmune thyroid disease	18/232	53/8075	2.43914725884268e-15	1.21347576127423e-13	8.40863923443133e-14	HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/CD40LG/CD86/CGA/TG/CD28/CTLA4	18
hsa04940	Type I diabetes mellitus	16/232	43/8075	1.71407270610229e-14	6.82200937028712e-13	4.72723209472421e-13	HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/LTA/IL1A/CD86/CD28	16
hsa05330	Allograft rejection	15/232	38/8075	4.11322163155584e-14	1.36421850779935e-12	9.45319357427747e-13	HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/CD40LG/CD86/CD28	15
hsa05332	Graft-versus-host disease	15/232	42/8075	2.36825918190923e-13	6.73262253142766e-12	4.66529252376104e-12	HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/IL1A/CD86/CD28	15
hsa04640	Hematopoietic cell lineage	21/232	99/8075	3.79312342164832e-13	9.43539451135019e-12	6.53814695047276e-12	CD1A/CD1C/CD1E/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/IL7R/IL1A/CD14/CSF2/EPO/IL11/IL1R2/IL2RA/CD3D/CD3E/CD3G	21
hsa05416	Viral myocarditis	16/232	60/8075	6.26123773740402e-12	1.38442923304822e-10	9.59324144561317e-11	HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/CD40LG/CD86/RAC2/CD28	16
hsa05323	Rheumatoid arthritis	19/232	93/8075	1.06748675995284e-11	2.12429865230615e-10	1.47200805846128e-10	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/CXCL8/CXCL5/CCL20/CCL5/TNFSF11/IL1A/CD86/CSF2/IL11/LTB/CD28/CTLA4	19
