category	ID	term	count	genes	logFC	adj_pval	zscore
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	LTA	2.263270448	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	PPBP	5.744454149	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CXCL14	3.519312121	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CXCL16	2.116601494	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CXCL8	2.179841139	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CXCL10	3.491369568	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CXCL9	4.011854431	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CXCL5	6.304490929	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CXCL13	2.893357322	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	PF4	3.362969857	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CCL13	3.23861773	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CCL8	2.700526834	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CCL20	3.83866648	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CCL5	2.656634761	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	TNFRSF10A	2.21251386	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	TNFSF11	3.970883683	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	IL7R	2.055705368	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	IL1A	3.955517808	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CD40LG	2.839101549	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	TNFSF4	2.396187816	1.60279062909431e-51	6.42364054837573
KEGG	hsa04060	Cytokine-cytokine receptor interaction	76	CCL15	3.643075482	1.60279062909431e-51	6.42364054837573
