ID	type
hsa04060	KEGG
hsa04061	KEGG
hsa04062	KEGG
hsa05320	KEGG
hsa04940	KEGG
hsa05330	KEGG
hsa05332	KEGG
hsa04640	KEGG
hsa05416	KEGG
hsa05323	KEGG
LTA	UP
PPBP	UP
CXCL14	UP
CXCL16	UP
CXCL8	UP
CXCL10	UP
CXCL9	UP
CXCL5	UP
CXCL13	UP
PF4	UP
CCL13	UP
CCL8	UP
CCL20	UP
CCL5	UP
TNFRSF10A	UP
TNFSF11	UP
IL7R	UP
IL1A	UP
CD40LG	UP
TNFSF4	UP
CCL15	UP
CCL19	UP
CCL18	UP
CCL17	UP
CCL26	UP
CCL22	UP
CCR7	UP
CCR8	UP
CCL21	UP
CCL7	UP
CCL25	UP
CCL4L2	UP
CCR1	UP
CCL24	UP
XCL2	UP
CXCR4	UP
CCR4	UP
CXCR3	UP
BMP4	UP
BMP7	UP
CD70	UP
CSF2	UP
IFNE	UP
IL11	UP
IL1RN	UP
IL24	UP
INHBA	UP
LIF	UP
LTB	UP
OSM	UP
TNFRSF11B	UP
TNFSF15	UP
TNFSF9	UP
CSF2RB	UP
IL13RA2	UP
IL2RB	UP
IL1R2	UP
IL20RB	UP
IL21R	UP
IL2RA	UP
IL2RG	UP
TNFRSF17	UP
TNFRSF18	UP
TNFRSF1B	UP
TNFRSF21	UP
TNFRSF9	UP
LTA	UP
PPBP	UP
CXCL14	UP
CXCL8	UP
CXCL10	UP
CXCL9	UP
CXCL5	UP
CXCL13	UP
PF4	UP
CCL13	UP
CCL8	UP
CCL20	UP
CCL5	UP
TNFRSF10A	UP
CCL15	UP
CCL19	UP
CCL18	UP
CCL17	UP
CCL26	UP
CCL22	UP
CCR7	UP
CCR8	UP
CCL21	UP
CCL7	UP
CCL25	UP
CCL4L2	UP
CCR1	UP
CCL24	UP
XCL2	UP
CXCR4	UP
CCR4	UP
CXCR3	UP
IL24	UP
IL2RB	UP
IL20RB	UP
IL2RA	UP
IL2RG	UP
TNFRSF1B	UP
PPBP	UP
CXCL14	UP
CXCL16	UP
CXCL8	UP
CXCL10	UP
CXCL9	UP
CXCL5	UP
CXCL13	UP
PF4	UP
CCL13	UP
CCL8	UP
CCL20	UP
CCL5	UP
PIK3CG	UP
CCL15	UP
CCL19	UP
CCL18	UP
CCL17	UP
CCL26	UP
CCL22	UP
CCR7	UP
CCR8	UP
CCL21	UP
CCL7	UP
CCL25	UP
CCL4L2	UP
CCR1	UP
CCL24	UP
XCL2	UP
CXCR4	UP
CCR4	UP
VAV1	UP
RAC2	UP
CXCR3	UP
HLA-A	UP
HLA-B	UP
HLA-C	UP
HLA-DOA	UP
HLA-DPB1	UP
HLA-DQA1	UP
HLA-DQA2	UP
HLA-DRA	UP
HLA-DRB1	UP
HLA-DRB5	UP
HLA-E	UP
HLA-G	UP
CD40LG	UP
CD86	UP
CD28	UP
CTLA4	UP
HLA-A	UP
HLA-B	UP
HLA-C	UP
HLA-DOA	UP
HLA-DPB1	UP
HLA-DQA1	UP
HLA-DQA2	UP
HLA-DRA	UP
HLA-DRB1	UP
HLA-DRB5	UP
HLA-E	UP
HLA-G	UP
LTA	UP
IL1A	UP
CD86	UP
CD28	UP
HLA-A	UP
HLA-B	UP
HLA-C	UP
HLA-DOA	UP
HLA-DPB1	UP
HLA-DQA1	UP
HLA-DQA2	UP
HLA-DRA	UP
HLA-DRB1	UP
HLA-DRB5	UP
HLA-E	UP
HLA-G	UP
CD40LG	UP
CD86	UP
CD28	UP
HLA-A	UP
HLA-B	UP
HLA-C	UP
HLA-DOA	UP
HLA-DPB1	UP
HLA-DQA1	UP
HLA-DQA2	UP
HLA-DRA	UP
HLA-DRB1	UP
HLA-DRB5	UP
HLA-E	UP
HLA-G	UP
IL1A	UP
CD86	UP
CD28	UP
CD1A	UP
CD1C	UP
CD1E	UP
HLA-DOA	UP
HLA-DPB1	UP
HLA-DQA1	UP
HLA-DQA2	UP
HLA-DRA	UP
HLA-DRB1	UP
HLA-DRB5	UP
IL7R	UP
IL1A	UP
CD14	UP
CSF2	UP
IL11	UP
IL1R2	UP
IL2RA	UP
CD3D	UP
CD3E	UP
CD3G	UP
HLA-A	UP
HLA-B	UP
HLA-C	UP
HLA-DOA	UP
HLA-DPB1	UP
HLA-DQA1	UP
HLA-DQA2	UP
HLA-DRA	UP
HLA-DRB1	UP
HLA-DRB5	UP
HLA-E	UP
HLA-G	UP
CD40LG	UP
CD86	UP
RAC2	UP
CD28	UP
HLA-DOA	UP
HLA-DPB1	UP
HLA-DQA1	UP
HLA-DQA2	UP
HLA-DRA	UP
HLA-DRB1	UP
HLA-DRB5	UP
CXCL8	UP
CXCL5	UP
CCL20	UP
CCL5	UP
TNFSF11	UP
IL1A	UP
CD86	UP
CSF2	UP
IL11	UP
LTB	UP
CD28	UP
CTLA4	UP
CCL14	DOWN
CXCR5	DOWN
EPO	DOWN
GDF10	DOWN
GH1	DOWN
IFNK	DOWN
PRL	DOWN
AMHR2	DOWN
IL12RB2	DOWN
IL22RA1	DOWN
CCL14	DOWN
CXCR5	DOWN
IL22RA1	DOWN
CCL14	DOWN
PIK3R2	DOWN
CXCR5	DOWN
SHC2	DOWN
CGA	DOWN
TG	DOWN
EPO	DOWN
