id	HR	HR.95L	HR.95H	pvalue
PSMC1	1.8631825585142	1.20953933562771	2.8700589919632	0.00475796573755308
TMSB10	1.00023743217646	1.00007263297313	1.00040225853659	0.00474441335148304
S100A2	1.00406748645023	1.00202581330178	1.00611331960053	9.28118018441814e-05
S100A11	1.00083218221493	1.00039375927576	1.00127079729311	0.000198441770366284
S100A3	1.1533623595381	1.03672749942745	1.28311898076779	0.00871440554668
S100A16	1.00412858061617	1.00162694986269	1.0066364593609	0.00120680635800333
WFIKKN1	0.236331712006576	0.0941719393546094	0.593092576012933	0.00212092678785005
PLAU	1.00966517634344	1.00559118796138	1.01375566982372	3.11925286902029e-06
NOX4	1.28654972005973	1.07129771731407	1.54505153463377	0.00699238742973392
OASL	1.07450881465234	1.03177076884746	1.11901715732389	0.000519845875870704
CRABP2	1.00616975594677	1.00254466322875	1.00980795660671	0.000837739669247275
PI15	1.28160422145644	1.08061601328432	1.51997505151055	0.00436106063032134
IDO1	1.0574532774784	1.02064349539769	1.09559061424685	0.0019994343596961
PLAAT4	1.00888122374717	1.00384385769345	1.01394386769304	0.00053582073766571
AHNAK	1.02229067712274	1.00866909271482	1.03609621438806	0.00127672033569727
FGF2	1.23539441194193	1.11048403428567	1.37435506133962	0.000101548337365097
TNFRSF10A	1.11621007238174	1.03355994169759	1.20546944151111	0.00509532352501417
OAS1	1.0476347327663	1.01739183827491	1.07877662470667	0.00184792398797538
TNFSF4	1.29744512021882	1.09570599523423	1.53632803626286	0.0025280215043902
VDR	1.13497712237727	1.04659002102714	1.23082873182334	0.002207381847155
BCL10	1.07091442655795	1.01812764719985	1.12643803767056	0.00789419667478985
IGHV7-81	0.663762266741078	0.488510784931758	0.901884585436123	0.0087878743432236
IGLV8-61	1.0029477573345	1.00101015726407	1.00488910791035	0.00285171758280266
SEMA3C	1.04326281135563	1.01954734461719	1.06752991835441	0.000306150317815396
EDNRA	1.08093512301521	1.02699611527361	1.13770706898596	0.00288325094811715
PLAUR	1.02810662755522	1.00857760954338	1.04801378458273	0.00461347864952003
AREG	1.01535214095842	1.00500999637389	1.02580071229989	0.00353774421678595
DKK1	1.02851572087121	1.00734465883515	1.05013172879922	0.00805986836230247
EREG	1.13082343039456	1.061572590133	1.20459179392444	0.000137215047554395
FGF17	0.0675149398984166	0.0120733323032908	0.377548384735865	0.00214744518768874
IL11	1.10543033582701	1.03874340482981	1.17639854239732	0.00159239385998099
IL1RN	1.0430812686526	1.0151193527962	1.07181340796717	0.00234737700235676
INHBA	1.03474116584212	1.01570091054487	1.05413834837851	0.000313327148667714
NPPA	0.0327965926732225	0.00444556749799597	0.241952572187499	0.00080324780562574
NRG2	0.280405373137998	0.109641798694704	0.717127721550761	0.0079549211299176
UCN2	1.5487019655614	1.22654775962606	1.95547035108112	0.000236805760589991
IL1R2	1.0245307134156	1.00691889008133	1.0424505817416	0.00615625921081927
IL20RB	1.07278584591839	1.04843299772132	1.0977043585085	2.00965750913472e-09
MET	1.05839297389005	1.03833639406168	1.07883696804457	6.10259098511763e-09
NRP2	1.1207226986543	1.04233330019092	1.20500742617444	0.00206545614277731
SDC4	1.00598248648366	1.00192209140156	1.01005933674562	0.00384587354754335
TNFRSF21	1.02059019524513	1.00898703894572	1.03232678560357	0.000476599302441228
SHC2	0.922061779248618	0.88139984632139	0.964599583605004	0.000421468041162465
