ID	type
BATF	TF
BHLHE40	TF
BRF1	TF
CENPA	TF
E2F1	TF
E2F7	TF
EGR2	TF
EPO	TF
FOSL1	TF
FOXA1	TF
FOXM1	TF
FOXP2	TF
FOXP3	TF
GATA3	TF
GTF2I	TF
HOXB13	TF
HOXB7	TF
HOXC11	TF
HOXC9	TF
IRF4	TF
KLF5	TF
LEF1	TF
LMNB1	TF
MEIS1	TF
MYB	TF
MYH11	TF
NCAPG	TF
PPARG	TF
PRDM1	TF
SIX5	TF
SMAD2	TF
SOX2	TF
SPDEF	TF
TFAP2A	TF
TP63	TF
VDR	TF
PSMC1	highRiskIRG
TMSB10	highRiskIRG
S100A2	highRiskIRG
S100A11	highRiskIRG
S100A3	highRiskIRG
S100A16	highRiskIRG
PLAU	highRiskIRG
NOX4	highRiskIRG
OASL	highRiskIRG
CRABP2	highRiskIRG
PI15	highRiskIRG
IDO1	highRiskIRG
PLAAT4	highRiskIRG
AHNAK	highRiskIRG
FGF2	highRiskIRG
TNFRSF10A	highRiskIRG
OAS1	highRiskIRG
TNFSF4	highRiskIRG
VDR	highRiskIRG
BCL10	highRiskIRG
IGLV8-61	highRiskIRG
SEMA3C	highRiskIRG
EDNRA	highRiskIRG
PLAUR	highRiskIRG
AREG	highRiskIRG
DKK1	highRiskIRG
EREG	highRiskIRG
IL11	highRiskIRG
IL1RN	highRiskIRG
INHBA	highRiskIRG
UCN2	highRiskIRG
IL1R2	highRiskIRG
IL20RB	highRiskIRG
MET	highRiskIRG
NRP2	highRiskIRG
SDC4	highRiskIRG
TNFRSF21	highRiskIRG
WFIKKN1	lowRiskIRG
IGHV7-81	lowRiskIRG
FGF17	lowRiskIRG
NPPA	lowRiskIRG
NRG2	lowRiskIRG
SHC2	lowRiskIRG
