TF	immuneGene	cor	pvalue	Regulation
BHLHE40	TNFRSF10A	0.451279216063433	1.67118753818555e-09	postive
BHLHE40	BCL10	0.590659590905076	1.30600561816373e-16	postive
BHLHE40	PLAUR	0.464205830082802	4.9116764318955e-10	postive
BHLHE40	SDC4	0.451157052665173	1.69023021901678e-09	postive
E2F1	TMSB10	0.44620525782469	2.66548395155523e-09	postive
E2F1	S100A11	0.429347803490021	1.19122161452027e-08	postive
E2F1	S100A16	0.497880986564253	1.57400192445835e-11	postive
E2F1	CRABP2	0.403824953113261	9.88845776424943e-08	postive
EGR2	EDNRA	0.527737440946722	5.35392590958225e-13	postive
EGR2	INHBA	0.443018016158847	3.55996988182369e-09	postive
FOSL1	TMSB10	0.43641397859312	6.42321081228896e-09	postive
FOSL1	S100A11	0.519135988059612	1.46705341030231e-12	postive
FOSL1	S100A16	0.50779866120146	5.3088167750192e-12	postive
FOSL1	PLAU	0.517794071740676	1.7125362248186e-12	postive
FOSL1	PLAUR	0.549440486907302	3.69360812906725e-14	postive
FOSL1	IL11	0.48667853526982	5.15500283867378e-11	postive
FOXM1	S100A2	0.464453456919617	4.79539523384134e-10	postive
FOXM1	S100A16	0.452108610969719	1.54727054626828e-09	postive
FOXM1	MET	0.509979164722265	4.16070818948767e-12	postive
GATA3	PLAAT4	0.504706019626819	7.4785629942629e-12	postive
GTF2I	PSMC1	0.504374618505746	7.75669902441866e-12	postive
GTF2I	AHNAK	0.525519353582843	6.96217297772564e-13	postive
KLF5	TNFRSF10A	0.483351443742262	7.2725701098977e-11	postive
KLF5	BCL10	0.529363407872863	4.41085722126839e-13	postive
KLF5	IL1RN	0.460927411028457	6.73300694703492e-10	postive
KLF5	MET	0.421131575127308	2.40024878709428e-08	postive
KLF5	SDC4	0.456983604782805	9.79673469237733e-10	postive
KLF5	TNFRSF21	0.493214126291553	2.59367696412082e-11	postive
LEF1	NOX4	0.643071726246928	2.79393910382524e-20	postive
LEF1	TNFSF4	0.55752127130147	1.29806132680698e-14	postive
LEF1	VDR	0.481896087291026	8.44426369426378e-11	postive
LEF1	EDNRA	0.704959930555076	1.19118264075852e-25	postive
LEF1	INHBA	0.591394633889853	1.17227637113501e-16	postive
LEF1	SHC2	-0.402422944081461	1.10517900585452e-07	negative
LMNB1	SHC2	-0.45087688136291	1.73469720452357e-09	negative
PPARG	S100A11	0.490173876445864	3.57660381821896e-11	postive
PPARG	OASL	0.411975099867265	5.12736209910221e-08	postive
PPARG	TNFRSF10A	0.447240880290824	2.42472765342006e-09	postive
PPARG	BCL10	0.60086203244754	2.84419453480547e-17	postive
PPARG	IL1RN	0.416476190315121	3.54063691407741e-08	postive
PPARG	SDC4	0.450824174273399	1.74318777863762e-09	postive
PPARG	TNFRSF21	0.492551133330462	2.78269784964505e-11	postive
PRDM1	PLAU	0.465472759331389	4.34415615578881e-10	postive
PRDM1	NOX4	0.598772545879809	3.90349032945477e-17	postive
PRDM1	TNFSF4	0.595925389521814	5.9868854301778e-17	postive
PRDM1	VDR	0.472671412625959	2.14163631238702e-10	postive
PRDM1	IGLV8-61	0.405918881379245	8.36702207200817e-08	postive
PRDM1	EDNRA	0.607535309511245	1.01870859712246e-17	postive
PRDM1	INHBA	0.673276095654639	9.72106266242175e-23	postive
TFAP2A	TMSB10	0.422743745780028	2.09504334905638e-08	postive
TFAP2A	S100A11	0.539133237735347	1.34684718771203e-13	postive
TFAP2A	S100A16	0.58969167227024	1.50502058935427e-16	postive
TFAP2A	PLAU	0.470249433681275	2.72199035323076e-10	postive
TFAP2A	CRABP2	0.450920319474038	1.72772978358348e-09	postive
TFAP2A	PLAUR	0.471866821886445	2.31970110069776e-10	postive
TFAP2A	UCN2	0.528116059156848	5.11820461434519e-13	postive
TFAP2A	MET	0.454270800536428	1.26449816184486e-09	postive
TFAP2A	SDC4	0.419508741572243	2.75041469597353e-08	postive
TP63	S100A2	0.40443876130322	9.41696090477415e-08	postive
VDR	NOX4	0.531567806793351	3.38624304247415e-13	postive
VDR	TNFSF4	0.441168335660154	4.20519504481177e-09	postive
VDR	VDR	0.999886533569608	1.85810406307736e-293	postive
VDR	EDNRA	0.533264688805729	2.75915711549309e-13	postive
VDR	FGF17	-0.438207703753668	5.47870168626886e-09	negative
VDR	IL1RN	0.421169501404617	2.3926013916563e-08	postive
VDR	INHBA	0.540890529829519	1.08361616750791e-13	postive
VDR	NRG2	-0.481926430346182	8.41806601890809e-11	negative
VDR	NRP2	0.414430856764814	4.19226482805662e-08	postive
