id	HR	HR.95L	HR.95H	pvalue
Age	1.03335132089897	1.00584476831733	1.06161008739946	0.0171568161761155
Gender	1.02225463712595	0.625258068525922	1.671317166029	0.930072159896599
Grade	1.39489928990789	0.981799564018488	1.98181390611097	0.0632467125175968
Stage	1.5106967607109	0.986242427831547	2.31404027896092	0.0579215305482976
T	1.64120972986989	0.986479515677507	2.7304868825073	0.0564492227085414
M	0.873825477248279	0.683118373953419	1.11777254690012	0.282973560423591
N	1.45811373764994	0.899842450716419	2.36274213361547	0.125663919552794
Residual_tumor	1.69901572714041	1.09766690032974	2.62980913444989	0.0174047837089931
Outcomes	1.40437592207292	1.1724171258631	1.6822269881517	0.000226949735028067
riskScore	4.9100050402746	3.02112403868427	7.97986086861275	1.34453639277876e-10
